urdu_text,is_sarcastic,,,,,,
"غمِ زندگی تیری راہ میں، شبِ آرزو تیری چاہ میں جو اجڑ گیا وہ بسا نہیں، جو بچھڑ گیا وہ ملا نہیں 🤐💔",0,,,,,,
🤣😂😂🤣🤣 آپ کے علاؤہ کوئی دنیا میں فسادن نہیں ہے سچی میں مطلب کنوارا مروں گا🙊🙊🙊😂🤣🤣🤣,0,,,,,,
سمجھ نہیں آرہا کہ آج 9 بجے کی خبریں دیکھ رہے یا فلم سنگم 🙈,1,,,,,,
بلو رانی کی طبعیت خراب ہوگئی ہوگی۔۔😅😅😅,1,,,,,,
زیادہ بھونکنے کی ضرورت نہیں پہلے آئ جی سے پوچھ لو کس نے دباو ڈالا ھے سندھ گورنمنٹ نے یا وفاق نے پہر جی بھر کے بھونک لینا 🐕🖐,1,,,,,,
"میں آپ کی بات پہ ضرور غور کروں گی، آپ کا بہت شکریہ 🤭😁😜",0,,,,,,
اکاؤنٹ 😂😂,0,,,,,,
پانی ختم کرنے میں پرائمری سکول کے بچوں کا بھی بڑا ہاتھ ہے ہر دو منٹ بعد۔۔ اشتاد جی پانی پی آواں 🤓😂😜😎😂,0,,,,,,
حامد میر صاحب اب ان بیچارے کامران خان کو اغواکاروں کی چنگل سے ازاد کرانا آپ کا کام ہیں.😂,1,,,,,,
کاکا جب تم نے عدت پوری نہیں ہونے دی تو عوام کیسے مدت پوری ہونے دے گی😂🤣😅,1,,,,,,
حکومت کا یہ ترجمان بھی گھٹیا باتیں ہی کرتا ہے 😜💯✔👍,1,,,,,,
"یہ نہ صرف حکومت ہے، حکومت کے اندر بھی حکومت ہوتا ہے، حکومت کے اوپر بھی حکومت ہوتا ہے،حکومت کے نیچے بھی حکومت ہوتا ہے، بلاول بھٹو زرداری 😂😁",0,,,,,,
بہت اچھے ۔ یہی درست رویہ ہے۔ 👍🏼👏🏼,0,,,,,,
قسمیں انج ای گل اے 😐,0,,,,,,
کیپٹن صفدر کا جلدی چھوٹنے پر وزیر موسمیات زرتاج گل کا اظہارِ اطمینان 😜😜,1,,,,,,
ھاھاھاھاھااو تیری خیر او پاٸیا تسی فیاض نال گل پٸے کردے او جونی سن نال نٸیں 😂😂😂😂😂,1,,,,,,
جماعت اسلامی یہ جلسے جلوس حکومت مخالف تحریک کے طور پر نہیں نوکر شاہی کی دلالی میں پی ڈی ایم کی مخالفت میں کر رہی ہے۔😇😇😇,1,,,,,,
ھاھاھاھا توں تیار رہ بس 😍😍,0,,,,,,
مزے تے ماہیا ہُن آن گے انیل کپورے اور بلو رانی کو کچھ سمجھ نہیں آ رہا تھا کیا کہنا ہے ۔نامراد نے ایک بات کہی تو بلو رانی دوسری طرف کھڑی تھی 😆 😆😆 😅,0,,,,,,
اس کو کہتے ہیں۔ فراغت 😀,0,,,,,,
میاں ساب خود کو شیر ثابت کرنے کو پونچھ لگوانے کے لیے سرجری کے لیے روانہ ذرایع حامڈ میڑ 😂😂😂,1,,,,,,
مجھے لگ رہا ہے بہت جلد کامران خان کا سوفٹ ویئر بھی اپ ڈیٹ ہونے والا ہے یہ بھی شیخ رشید کی طرح خودکش بن چکا ہے ہر گھنٹے اپنوں کو ہی نقصان پہنچانے پہ لگا ہے😅,1,,,,,,
 نظرتوصرف ہم لڑکیوں کولگتی ہے لڑکوں کے پیچھےتوجب بھی لگتے '' کتے '' ہی لگتے۔۔۔۔۔ 💪🙊😝🤪😂💃 زادی,1,,,,,,
بستی خراب ہو گئی کامران خان دی۔ 😂😂😂😂😂,0,,,,,,
 ملنا تھا ایک بار اُسے پھر کہیں منیر ایسا مِیں چاہتا تھا پر ایسا نہیں ھوا 😒😒,0,,,,,,
اس طرح دے الیکشن توں بعد کوئی نہ کوئی امیدوار چیف الیکشن کمشنر نو گولی مار دیندا 😂😂😂✌,0,,,,,,
پوچھنا یہ ہے کہ لگھڑ بھگڑ مطلب کپٹن صفدر کو کس نے گرفتار کروایا 😀😀😀 یہ پی پی والے آپ کے ساتھ بہت بڑی گیم کر گے 😀😀,1,,,,,,
بزدارکی_پرواز_بلاول_بیکار خان صاحب نے کہا۔۔۔۔ '' حرام پر پلے دو بچے ھیں جن میں سے ایک نانی ھے '' اور حیرت اس بات پر ھے کہ انکو `` حرام کے پلے کہنے پر اعتراض نہیں۔۔۔ بلکہ نانی کہنے پر اعتراض ھوا ھے😂,1,,,,,,
عمران خان کو یہ کریڈٹ تو دینا پڑے گا کہ اپنے ساتھ ساتھ اپنے لانے والوں کو بهی ذلیل کروا رہا ہے ... اور یوتھیے بےچارے فی سبیل اللہ ذلیل ہو رہے ہيں مان گئے مرشد ایک تیر ميں تین تین شکار۔ 😝 StateAboveStateRejected IGSindh,1,,,,,,
کیپٹن صفدر کا نیا گانا ریلیز اک کتی جئ زنانی پیچھے رول دی جوانی 🤭😆😆,0,,,,,,
😂😂 اور ایسا جھاد مجاد ہی کرتے ہیں,0,,,,,,
🇵🇰تمہیں بھی قائد اعظم محمد علی جناح رح کی عزت کا کوئی پاس نہیں🇵🇰تم ہمیں چھٹیاں بتا رہے📃 تمہیں شرم آنی چاہیے🔔قانون پر کیوں عمل نہیں کیا گیا⚖یہ ملک کسی کے باپ نہیں ہے🇵🇰یہ تمام پاکستانیوں کا ملک اور مادر وطن ہے🇵🇰اب تک اس گھر داماد کو مچھ جیل میں ہونا چاہیے تھا⛓🔒قانون پڑھو📚,0,,,,,,
حامد میر صاحب آخر آپ نے حکومت کے ماموں کے بیٹے کامران کی لے ہی لی 😁 کلاس باخدا یقین ہی نہیں آتا کہ یہ لڑکا کامران وہی ہے جو Geo News پر پروگرام کیا کرتا تھا اب تو قوم کو بھی پکا یقین ہو گیا یہ ہی اصلی والا حکومت کے ماموں کا بیٹا کامران ہے,1,,,,,,
قاتل کی بندوق سے ذیادہ طاقت صحافی کے قلم اور کیمرے میں ہے لیکن شرط یہ ہے کہ کیمرا کسی بکے ہوئے دلال حامد میر صحافی کے ہاتھ میں نہ ہو 🖐️🌚,1,,,,,,
"کپتان صفدر اعوان نہ جذباتی ہوندا تے نہ ایہہ سارا کم پیندا 😃 سارے اعوان، بابر اعوان تے فردوس عاشق اعوان نئیں ہوندے",1,,,,,,
پچیس نہیں پیچش سال 😂,0,,,,,,
اذان غور سے سننےسے کافی ذہنی بیماریوں سے نجات مل جاتی ہے..❤,0,,,,,,
*کسی کی بدتمیزی سے مت گھبرائیں وہ بس اپنا تعارف کرواتے ہیں۔سمجھداری اِسی میں ہے کہ آپ اُنہیں پہچان کر آگے چل دیں۔۔۔۔۔۔ 🌵🍄🌵🍄🌵,0,,,,,,
سندھ حکومت بد نام ہوئی مریم نانی تیرے لیے 😜😜😜😜😜😜😜 کوئی_مرادعلی_شاہ_سےپوچھے,1,,,,,,
"آریحائی فوج نے ملازمت چھوڑ کر کھیتی باڑی کرنے لگے۔ آرائیوں کا پیشہ ذراعت اور باغ بانی ہے۔ پیاز اگانے،کھانے اور سالن کوپیاز کا تڑکا لگانے کا طریقہ بھی تمام اقوام نے انہیں سے سیکھا۔ آرائیں عربی نسل سے ہے مگر عرب سے عجم تک کے سفر میں انکی زبان اور تہذیب میں نمائیاں فرق آیا ہے۔ 👇😅",1,,,,,,
کامران صاحب کا نشہ اور ہے شاہین کا نشہ اور ہے یہ واقعی ماموں کا بیٹا کامران ہے 😂,1,,,,,,
سچی مزہ آیا ۔۔۔ویسے حیدر بھائی بہت پیارے انسان ہیں ❤,0,,,,,,
زندگی بےوفا ہے یہ مانا مگر 💔🔥,0,,,,,,
تیرا تو یہی کہنا بنتا ہے 👊😝🤣🤣,0,,,,,,
 فیصل واوڈا ایک گھٹیا ترین وزیر ہے۔۔۔ اعلان ختم🔉🔊,1,,,,,,
اب تو پورا انڈیا `` سوگ '' میں ڈوبا ہوگا کہ یہ کیا انرت ہوگیا پاکستان میں؟؟😢 کیونکہ انڈیا ہمیشہ ووٹ_کو_عزت_دو کی بات پہ دیوالی مانتا ہے۔انڈین `` دوستوں '' کو جان کر جیو۔۔۔🙄,1,,,,,,
"ڈھائی ہزار کرسیوں پر پانچ لاکھ افراد کو بٹھانے کی ذمہ داری حامد میر ،عاصمہ شیرازی اور سلیم لفافی کی ہے 😜😝😜😝",1,,,,,,
میں روز صبح جلدی اٹھتی ہوں کہ کالج جانے سے پہلے 5 منت کے لیے ٹویٹر پر آ کے صبح بخیر کی ٹویٹ کر سکوں پر 😔پھر بھی لیٹ ہو جاتی ہوں اور ٹویٹ نہیں کر پاتی اور کالج وین آگے آگے ہوتی اورمیں پیچھے بھاگ رہی ہوتی😣😖😬,0,,,,,,
